kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_count
0884.01,CONFIRMED,9.439459486,4.9910000e-06,-4.9910000e-06,4.16,5.000e-01,-2.800e-01,3
0122.01,CONFIRMED,11.523067458,9.4520000e-06,-9.4520000e-06,3.13,2.000e-01,-1.700e-01,1
0884.02,CONFIRMED,20.477488430,3.1260000e-05,-3.1260000e-05,2.92,3.500e-01,-1.900e-01,3
0884.03,CONFIRMED,3.336123113,4.3590000e-06,-4.3590000e-06,1.74,2.000e-01,-1.200e-01,3
0886.01,CONFIRMED,8.010784560,1.0610000e-05,-1.0610000e-05,1.72,1.300e-01,-2.000e-01,3
0886.02,CONFIRMED,12.071342050,4.2100000e-05,-4.2100000e-05,1.29,1.000e-01,-1.500e-01,3
0886.03,CONFIRMED,20.995878720,7.6620000e-05,-7.6620000e-05,1.30,1.000e-01,-1.500e-01,3
0887.01,CONFIRMED,7.411131770,1.3570000e-05,-1.3570000e-05,2.45,7.700e-01,-2.500e-01,1
0888.01,FALSE POSITIVE,1.000747038,2.9100000e-07,-2.9100000e-07,4.14,7.500e-01,-5.700e-01,1
0889.01,CONFIRMED,8.884922995,1.6360000e-06,-1.6360000e-06,10.51,5.600e-01,-5.700e-01,1
0890.01,CONFIRMED,8.098889060,2.1810000e-06,-2.1810000e-06,8.95,2.940e+00,-9.800e-01,1
0891.01,CONFIRMED,10.006530120,2.0010000e-05,-2.0010000e-05,3.52,1.110e+00,-3.800e-01,1
0012.01,CONFIRMED,17.855221681,3.6760000e-06,-3.6760000e-06,13.16,2.570e+00,-6.500e-01,1
