KOI,P_ttv [cycles],amplitude_ttv [min],delta_BIC,P_lin,P_ttv [days],nplanets
156.03,14.4080045621857,2.636130591195706,22.343133578988045,11.776116378059024,169.67033849990415,1
157.01,2.5849373307685712,7.361221273375193,45.81953619419846,13.024921872070689,33.66860677745959,1
157.02,2.0563175583613407,11.538435902235818,73.14795515051497,22.68721681364453,46.65212228424787,1
157.03,23.637136782423816,6.637750580028307,54.81884935731273,31.995283974532427,756.2769036985158,1
157.04,11.403269754768392,24.366861252156944,92.1626320120728,46.685802549690514,532.370800191975,1
157.05,2.2711157455683004,29.057080795224596,129.46486350582754,118.37824782234048,268.85070256210383,1
157.06,8.800174203382449,21.304534006243188,163.2643759998026,10.3040351639979,90.67730444095994,1
161.01,10.444325322994056,1.4818344947875746,22.764132722215663,3.105507196608747,32.434927454281016,0
162.01,2.095187097050571,4.788853685445974,14.02318433776844,14.006429407130678,29.346090169569877,0
165.01,39.939875212705616,4.613268993963623,26.471421333645424,13.221753025311465,528.0751659241529,0
166.01,22.990165776903627,3.605469225534188,10.985830334936908,12.493406591794528,287.2254886636167,0
167.01,3.547611194612985,3.985607871220793,18.04597093985558,4.919591578608839,17.452798157196483,0
168.01,41.85017026106697,23.335706813882403,272.5035832545005,10.74248281430918,449.5747348054251,1
168.02,5.812366737739872,26.2008716107955,67.58195240843224,15.274533260016764,88.78118905502281,1
168.03,24.62145817761772,39.02680103641696,29.80782715677765,7.106991525525353,174.98449461440606,1
171.01,9.091313953992117,6.085630725113837,54.29188012722818,5.968710924889234,54.26342491879068,1
171.02,3.348637104915741,13.731296432180915,20.282559339578142,13.0715777621549,43.77197031414337,1
174.01,4.106910039113429,5.701962218342644,12.096759360763729,56.35410000369993,231.4412190503974,0
176.01,2.1362419547758726,8.635564535831163,10.992582647712482,30.22910611023591,64.57668472805764,0
177.01,138.0,108.75924759082795,101.46969059350351,21.06348304557181,2906.76066028891,0
186.01,4.262487549036732,0.2335275285754998,19.83115298585949,3.2432598650281164,13.824354792972898,0
191.02,4.100046727320561,17.2464223237582,624.8605160444331,2.4184097949452985,9.91559316508546,1
191.04,3.3966858302333445,93.02292854828364,403.2711105185371,38.65210366667831,131.2890528333165,1
196.01,2.769591899516661,0.1563499701136333,12.377131893543153,1.8555575947442065,5.139137283490173,0
